char_name,profession,sub_profession,rarity,max_hp,atk,def,magic_resistance,base_attack_time,attack_speed_bonus,cost,block_cnt,module_used
洛洛,CASTER,funnel,4,1548,413.9,139.0,20.0,1.3,5.0,21.0,1.0,未命名的无人机
录武官,MEDIC,physician,4,1700,577.0,124.0,0.0,2.85,29.0,19.0,1.0,未完成的录武簿
掠风,SUPPORT,craftsman,4,2900,783.6,465.0,0.0,1.5,0.0,18.0,2.0,“灵机一动”
梅尔,SUPPORT,summoner,4,1388,518.0,130.0,20.0,1.6,-30.0,11.0,1.0,咪波控制终端XP
玫拉,SNIPER,closerange,4,1664,957.0,240.0,0.0,1.6,0.0,19.0,1.0,香薰耳坠
蜜蜡,CASTER,phalanx,4,2547,875.0,225.0,15.0,2.0,0.0,23.0,1.0,“司祭的祝福”
蜜莓,MEDIC,wandermedic,4,2033,410.0,107.0,10.0,2.85,6.0,15.0,1.0,落地之后
明椒,MEDIC,chainhealer,4,2066,550.0,171.0,0.0,2.85,0.0,18.0,1.0,“多彩人生”
Miss.Christine,CASTER,primcaster,4,1404,705.0,117.0,15.0,1.6,0.0,22.0,1.0,“黑色”贩卖机
谜图,PIONEER,agent,4,2080,639.0,264.0,0.0,1.0,0.0,12.0,1.0,首要任务
摩根,WARRIOR,fearless,4,4160,1062.0,268.0,0.0,1.5,0.0,20.0,1.0,“钢铁之心”
暮落,TANK,artsprotector,4,3090,918.8,585.0,14.7,1.6,30.0,25.0,3.0,票根收纳册
暮落,TANK,artsprotector,4,3090,746.3,550.0,15.0,1.6,30.0,25.0,3.0,
钼铅,SPECIAL,traper,4,1650,610.0,185.0,0.0,0.85,0.0,11.0,1.0,矿石展览柜
诺威尔,MEDIC,healer,4,1712,594.0,108.0,10.0,2.85,0.0,20.0,1.0,致祖父
佩德洛,SUPPORT,supportiveranger,4,1805,891.0,210.0,10.0,2.1,0.0,16.0,1.0,
Pith,CASTER,splashcaster,4,1655,821.0,128.0,20.0,2.9,0.0,32.0,1.0,
普罗旺斯,SNIPER,closerange,4,1680,926.0,260.0,0.0,1.6,0.0,19.0,1.0,尾巴养护套装
齐尔查克,PIONEER,agent,4,2280,560.0,342.0,0.0,1.0,7.0,10.0,1.0,原版开锁工具
绮良,SPECIAL,stalker,4,2310,858.0,400.0,30.0,3.5,0.0,20.0,0.0,《闹闹生存挑战3 联机版》
青枳,PIONEER,pioneer,4,2970,475.0,447.0,0.0,1.05,0.0,13.0,2.0,寻乡人的启明星
熔泉,SNIPER,siegesniper,4,1667,1124.0,158.0,0.0,2.4,0.0,23.0,1.0,弩箭调试箱
若叶睦,SPECIAL,dollkeeper,4,2740,792.0,478.8,0.0,1.2,0.0,15.0,2.0,睦的新朋友
桑葚,MEDIC,wandermedic,4,1597,526.7,99.0,10.0,2.85,0.0,15.0,1.0,宁心静神
三角初华,SUPPORT,bard,4,1610,401.0,253.0,0.0,1.3,0.0,7.0,1.0,占卜的意义
森西,TANK,guardian,4,3070,510.0,782.0,10.0,1.2,0.0,23.0,3.0,非魔法厨艺
闪击,TANK,shotprotector,4,3463,542.0,721.0,0.0,1.2,0.0,22.0,3.0,战术盾牌维护油
Sharp,WARRIOR,fearless,4,3565,1100.5,265.0,0.0,1.5,0.0,17.0,1.0,
深律,TANK,guardian,4,3180,555.0,600.0,15.0,1.2,0.0,21.0,3.0,受赐玩物
深巡,TANK,shotprotector,4,3253,536.0,784.0,0.0,1.2,0.0,24.0,3.0,基于咖啡的神经活性剂
慑砂,SNIPER,aoesniper,4,1655,978.0,166.0,0.0,2.8,0.0,28.0,1.0,“灵魂共鸣”
诗怀雅,WARRIOR,instructor,4,2084,848.1,443.0,0.0,1.05,0.0,16.0,2.0,防身口红
石棉,TANK,artsprotector,4,3285,718.0,625.0,27.0,1.6,0.0,25.0,3.0,“石棉大战双头钳兽”
蚀清,CASTER,blastcaster,4,1762,910.0,120.0,20.0,2.9,0.0,33.0,1.0,无可抹消
食铁兽,SPECIAL,pusher,4,2315,720.0,417.0,0.0,1.2,0.0,20.0,2.0,尚蜀风味自制辣酱
时隙,CASTER,funnel,4,1615,474.6,125.0,20.0,1.3,0.0,23.0,1.0,突发性创造思维
狮蝎,SPECIAL,stalker,4,1630,1529.6,404.0,30.0,3.5,0.0,20.0,0.0,训练用尾部防护套装
守林人,SNIPER,longrange,4,1580,1262.0,131.0,0.0,2.7,0.0,21.0,1.0,野战狙击套装
霜华,SPECIAL,traper,4,1559,616.0,182.0,0.0,0.85,0.0,11.0,1.0,机械式陷阱压力板
双月,SPECIAL,dollkeeper,4,2436,823.0,361.0,0.0,1.2,0.0,15.0,2.0,“遥远陌生的世界”
水灯心,SNIPER,loopshooter,4,2560,830.5,165.0,0.0,1.0,0.0,17.0,1.0,风的颜色
四月,SNIPER,fastshot,4,1470,635.0,160.0,0.0,1.0,8.0,11.0,1.0,高保真通讯耳机
松桐,PIONEER,counsellor,4,2002,715.0,420.0,15.0,1.2,0.0,14.0,2.0,
送葬人,SNIPER,reaperrange,4,2330,837.0,185.0,0.0,2.3,5.0,31.0,1.0,执行者随身包
Stormeye,SNIPER,fastshot,4,1549,595.0,159.0,0.0,1.0,0.0,12.0,1.0,
燧石,WARRIOR,fighter,4,2680,675.0,334.0,0.0,0.78,0.0,10.0,1.0,这些花朵的含义
莎草,MEDIC,chainhealer,4,1865,560.0,193.0,0.0,2.85,0.0,20.0,1.0,小小的种子
特克诺,CASTER,soulcaster,4,1855,645.1,105.0,20.0,1.6,7.0,20.0,1.0,烧烤店官方优惠章
特米米,CASTER,corecaster,4,2120,686.1,144.0,20.0,1.6,0.0,22.0,1.0,损坏的尾尾佳
天火,CASTER,splashcaster,4,1620,944.0,122.0,20.0,2.9,5.0,25.0,1.0,阻燃处理方案
天空盒,SNIPER,skybreaker,4,1558,984.0,197.0,0.0,2.1,0.0,24.0,1.0,
Touch,MEDIC,physician,4,1633,595.0,135.0,0.0,2.85,0.0,18.0,1.0,
图耶,MEDIC,physician,4,1630,615.0,135.0,0.0,2.85,0.0,21.0,1.0,集水装置
万顷,PIONEER,bearer,4,1751,514.0,485.0,0.0,1.3,0.0,13.0,1.0,牵风
苇草,PIONEER,charger,4,2395,697.0,364.0,20.0,1.0,25.0,12.0,1.0,枪刃清洁套装
微风,MEDIC,ringhealer,4,2179,420.0,153.0,0.0,2.85,0.0,17.0,1.0,外科医疗套组
温米,CASTER,primcaster,4,1438,711.0,106.0,15.0,1.6,0.0,20.0,1.0,赠别之味
乌啾,MEDIC,chainhealer,4,2035,555.0,175.0,0.0,2.85,0.0,18.0,1.0,“睡前故事”
巫恋,SUPPORT,underminer,4,1728,503.0,140.0,25.0,1.6,0.0,12.0,1.0,布艺苹果
乌有,SPECIAL,merchant,4,2838,830.0,396.0,0.0,1.0,0.0,8.0,1.0,“檐下听雨”
夏栎,SUPPORT,blessing,4,2190,493.0,227.0,25.0,1.6,0.0,12.0,1.0,锈枝
响石,TANK,primprotector,4,3983,606.0,630.0,10.0,1.6,0.0,25.0,3.0,“降落伞”
晓歌,PIONEER,agent,4,2137,735.1,297.0,0.0,1.0,18.0,10.0,1.0,“不发声者”
小满,SUPPORT,slower,4,1380,631.0,100.0,20.0,1.9,14.0,15.0,1.0,在田野上
撷英调香师,SUPPORT,blessing,4,2245,520.0,182.0,25.0,1.6,0.0,12.0,1.0,“双月的呼吸”
锡兰,MEDIC,healer,4,1655,553.0,126.0,15.0,2.85,0.0,22.0,1.0,野外考察套装
星极,WARRIOR,artsfghter,4,2523,732.0,509.6,15.0,1.25,7.0,21.0,1.0,未卜星图
杏仁,SPECIAL,hookmaster,4,2610,695.0,480.0,0.0,1.8,0.0,13.0,2.0,“毕业设计”
星源,CASTER,chain,4,1560,779.0,122.0,20.0,2.3,4.0,34.0,1.0,未组装的钟表
行箸,SUPPORT,blessing,4,1921,513.0,231.0,25.0,1.6,0.0,13.0,1.0,别昔年
锡人,SPECIAL,alchemist,4,1414,534.0,99.0,30.0,1.5,0.0,17.0,1.0,“颅相学”
稀音,SUPPORT,summoner,4,1305,468.0,220.0,20.0,1.6,0.0,11.0,1.0,专业级改良镜头
雪猎,SNIPER,hunter,4,2120,1126.0,222.0,0.0,1.6,0.0,19.0,1.0,过去的狩猎
雪绒,CASTER,corecaster,4,1650,745.0,119.0,20.0,1.6,0.0,20.0,1.0,自制登山杖
雪雉,SPECIAL,hookmaster,4,2345,745.0,426.0,0.0,1.8,0.0,15.0,2.0,雪雉的宝贝存钱罐
寻澜,PIONEER,agent,4,2250,600.0,306.0,0.0,1.0,15.0,12.0,1.0,佳肴
絮雨,MEDIC,healer,4,1772,572.0,119.0,10.0,2.85,0.0,20.0,1.0,古朴的急救箱
洋灰,TANK,duelist,4,3642,1099.0,788.0,0.0,1.6,0.0,32.0,1.0,工程记录仪
炎客,WARRIOR,fearless,4,4807,963.0,195.0,0.0,1.5,5.0,20.0,1.0,锈损的断刀
炎狱炎熔,CASTER,splashcaster,4,1708,950.0,115.0,20.0,2.9,0.0,35.0,1.0,萨卡兹的刀
崖心,SPECIAL,hookmaster,4,1970,1050.0,445.2,0.0,1.8,0.0,13.0,2.0,“凌绝顶”
亚叶,MEDIC,physician,4,1905,529.0,133.0,0.0,2.85,6.0,21.0,1.0,母亲的领巾
夜半,PIONEER,tactician,4,1775,574.2,153.0,0.0,1.0,0.0,14.0,1.0,星星与瞌睡虫
耶拉,CASTER,funnel,4,1577,450.8,121.0,20.0,1.3,0.0,23.0,1.0,以雪为线
夜魔,CASTER,corecaster,4,1510,890.4,120.0,20.0,1.6,5.0,20.0,1.0,“两生花”
野鬃,PIONEER,charger,4,2225,688.0,372.0,0.0,1.0,5.0,14.0,1.0,长枪替补套装
因陀罗,WARRIOR,fighter,4,2765,655.0,350.0,0.0,0.78,0.0,10.0,1.0,“汉娜的脱臼复位套装”
隐现,SNIPER,fastshot,4,1600,635.0,178.0,0.0,1.0,0.0,15.0,1.0,“最初的惊喜”
医生,WARRIOR,instructor,4,3005,692.0,423.0,0.0,1.05,0.0,16.0,2.0,“第三种力量”
幽灵鲨,WARRIOR,centurion,4,2893,865.0,403.0,0.0,1.2,0.0,23.0,3.0,幽明烛光
祐天寺若麦,WARRIOR,hammer,4,2810,1400.8,404.0,0.0,1.8,0.0,21.0,2.0,年轻的麦子
月禾,SUPPORT,blessing,4,2020,535.0,216.0,25.0,1.6,0.0,12.0,1.0,胧夜微明
郁金香,PIONEER,pioneer,4,1855,582.0,357.0,0.0,1.05,0.0,12.0,2.0,
羽毛笔,WARRIOR,reaper,4,2490,815.4,482.0,0.0,1.3,3.0,22.0,2.0,水蓝色黎明
陨星,SNIPER,aoesniper,4,1685,1624.0,116.0,0.0,2.8,0.0,28.0,1.0,无名的身份牌
战车,WARRIOR,sword,4,2626,716.0,496.9,0.0,1.3,0.0,24.0,2.0,轻机枪枪架
折光,CASTER,primcaster,4,1389,870.8,111.0,15.0,1.6,0.0,20.0,1.0,凡石
真理,SUPPORT,slower,4,1440,583.0,103.7,20.0,1.9,26.0,15.0,1.0,读书笔记
折桠,TANK,unyield,4,4533,865.0,776.4,10.0,1.6,0.0,35.0,3.0,“时间的痕迹”
至简,CASTER,funnel,4,1600,390.0,120.0,20.0,1.3,0.0,23.0,1.0,“新家园”
濯尘芙蓉,MEDIC,incantationmedic,4,1648,611.0,109.0,20.0,1.6,0.0,17.0,1.0,结晶胸花
铸铁,WARRIOR,artsfghter,4,3665,660.0,369.0,15.0,1.25,23.0,23.0,1.0,漫游者的压舱石
子月,SNIPER,longrange,4,1996,1142.0,155.0,0.0,2.7,0.0,21.0,1.0,“移动的窝”
艾丝黛尔,WARRIOR,centurion,3,2970,742.0,315.0,0.0,1.2,0.0,22.0,3.0,荒野地的饯别礼
安比尔,SNIPER,longrange,3,1690,1133.0,122.0,0.0,2.7,0.0,20.0,1.0,便携雷达的辅助器材
暗索,SPECIAL,hookmaster,3,1920,759.0,385.0,0.0,1.8,0.0,12.0,2.0,铁皮首饰盒
阿消,SPECIAL,pusher,3,2175,648.0,387.0,23.0,1.2,0.0,19.0,2.0,客制化防火服
白雪,SNIPER,aoesniper,3,1790,1076.4,100.0,0.0,2.8,5.0,27.0,1.0,手里剑
波登可,SUPPORT,slower,3,1273,634.4,96.0,20.0,1.9,5.0,14.0,1.0,“不谢的苗圃”
布丁,CASTER,chain,3,1456,709.9,108.0,20.0,2.3,5.0,31.0,1.0,便携测电设备
缠丸,WARRIOR,fearless,3,6048,971.0,155.8,0.0,1.5,0.0,17.0,1.0,断竹插花作品
骋风,WARRIOR,librator,3,3885,342.0,511.0,15.0,1.2,0.0,10.0,3.0,义
地灵,SUPPORT,slower,3,1335,530.0,139.0,20.0,1.9,0.0,14.0,1.0,待确认的申请表
冬时,PIONEER,agent,3,1955,537.0,295.0,0.0,1.0,15.0,9.0,1.0,缺角的权限
豆苗,PIONEER,tactician,3,1709,480.0,143.8,0.0,1.0,0.0,13.0,1.0,钳钳自助餐
断罪者,WARRIOR,fearless,3,3705,1031.0,188.0,0.0,1.5,4.0,8.0,1.0,断罪之拳
杜宾,WARRIOR,instructor,3,2104,753.5,412.0,0.0,1.05,20.0,15.0,2.0,军用望远镜
芳汀,WARRIOR,lord,3,2435,740.0,340.0,10.0,1.3,12.0,18.0,2.0,芳汀之书
格雷伊,CASTER,splashcaster,3,2007,699.0,130.0,20.0,2.9,5.0,24.0,1.0,新的开始
古米,TANK,guardian,3,3200,490.0,562.0,10.0,1.2,0.0,20.0,3.0,蜜糖馅饼礼包
褐果,MEDIC,wandermedic,3,1307,454.0,101.0,10.0,2.85,0.0,14.0,1.0,地上巡旅纪念灯
红豆,PIONEER,charger,3,1955,684.0,351.0,0.0,1.0,0.0,11.0,1.0,伟大的摇滚
红云,SNIPER,fastshot,3,1400,581.0,162.0,0.0,1.0,0.0,12.0,1.0,“不落”
坚雷,TANK,artsprotector,3,3277,770.6,613.8,15.0,1.6,0.0,24.0,3.0,守护的道路
角峰,TANK,protector,3,4000,375.0,720.0,25.0,1.2,0.0,21.0,4.0,父亲的袍子
嘉维尔,MEDIC,physician,3,1650,566.5,282.0,0.0,2.85,0.0,18.0,1.0,“请遵医嘱”
孑,SPECIAL,merchant,3,2484,764.0,428.0,0.0,1.0,0.0,7.0,1.0,精钢刀具套组
杰克,WARRIOR,fighter,3,2518,619.0,328.0,0.0,0.78,0.0,9.0,1.0,D32钢椅
杰西卡,SNIPER,fastshot,3,1320,604.2,184.0,0.0,1.0,24.0,12.0,1.0,杰西卡的订单
卡达,CASTER,funnel,3,1440,400.0,135.0,20.0,1.3,18.0,20.0,1.0,大菲林脱敏实验
刻刀,WARRIOR,sword,3,2470,706.0,325.0,0.0,1.3,0.0,21.0,2.0,可替换刀具套装
砾,SPECIAL,executor,3,1855,452.0,418.7,0.0,0.93,0.0,7.0,1.0,隐秘行动工具包
猎蜂,WARRIOR,fighter,3,2605,661.3,312.0,0.0,0.78,0.0,9.0,1.0,咬紧牙关
流星,SNIPER,fastshot,3,1550,560.0,165.0,0.0,1.0,0.0,12.0,1.0,猎刀
罗比菈塔,SUPPORT,craftsman,3,2720,570.0,694.4,0.0,1.5,0.0,17.0,2.0,半自动造型工具套组
罗小黑,WARRIOR,lord,3,2140,768.0,375.0,10.0,1.3,0.0,17.0,2.0,毛线球
露托,TANK,unyield,3,4300,790.0,605.0,10.0,1.6,0.0,34.0,3.0,生还的人与物
梅,SNIPER,fastshot,3,1632,638.4,105.0,0.0,1.0,10.0,12.0,1.0,新手侦探礼包
盟约·辅助干员,SUPPORT,ritualist,3,1382,482.0,100.0,15.0,1.6,0.0,14.0,1.0,盟约·辅助干员证章
末药,MEDIC,physician,3,1520,525.0,131.0,0.0,2.85,5.0,18.0,1.0,“生命的短暂”
慕斯,WARRIOR,artsfghter,3,2565,714.0,392.0,15.0,1.25,0.0,20.0,1.0,美爪套装二象性
泡泡,TANK,protector,3,3666,369.9,785.0,0.0,1.2,0.0,21.0,3.0,泡泡闪光必杀剑
铅踝,SNIPER,siegesniper,3,1550,1301.8,175.0,0.0,2.4,0.0,22.0,1.0,雪花球
清道夫,PIONEER,pioneer,3,1835,656.6,388.6,0.0,1.05,0.0,12.0,2.0,“专属餐具”
清流,MEDIC,healer,3,1515,521.0,150.0,10.0,2.85,0.0,19.0,1.0,“江河之韵”
深靛,CASTER,mystic,3,1435,1286.0,117.0,20.0,3.0,4.0,23.0,1.0,法杖保养套装
深海色,SUPPORT,summoner,3,1684,438.0,125.0,15.0,1.6,0.0,10.0,1.0,诡异的调色盘
蛇屠箱,TANK,protector,3,3275,365.0,997.1,0.0,1.2,0.0,21.0,3.0,超强棒球套装
石英,WARRIOR,crusher,3,6876,1740.8,0.0,0.0,2.5,0.0,22.0,2.0,钟表修理套组
霜叶,WARRIOR,lord,3,2260,710.0,413.0,10.0,1.3,0.0,18.0,2.0,不歇律动
松果,SNIPER,reaperrange,3,2200,762.0,197.0,0.0,2.3,0.0,30.0,1.0,移动电箱
酸糖,SNIPER,closerange,3,1576,815.0,259.0,0.0,1.6,5.0,18.0,1.0,“自由、洋葱圈和我”
苏苏洛,MEDIC,physician,3,1445,548.0,122.0,0.0,2.85,5.0,28.0,1.0,医不自治
桃金娘,PIONEER,bearer,3,1715,520.0,385.0,0.0,1.3,0.0,10.0,1.0,“私人收藏”
调香师,MEDIC,ringhealer,3,1800,385.0,145.0,0.0,2.85,0.0,16.0,1.0,“爱琴之吻”
维荻,SPECIAL,dollkeeper,3,2551,777.0,259.0,8.0,1.2,0.0,14.0,2.0,密林撷萃
协律,CASTER,blastcaster,3,1703,948.0,110.0,20.0,2.9,0.0,32.0,1.0,移动八音盒
休谟斯,WARRIOR,reaper,3,2350,666.0,500.0,0.0,1.3,0.0,21.0,2.0,恶地奇异工具套组
讯使,PIONEER,pioneer,3,2180,435.0,510.9,0.0,1.05,0.0,12.0,2.0,耐低温通讯设备
宴,WARRIOR,musha,3,3684,814.3,366.1,0.0,1.2,0.0,24.0,1.0,翻盖手机
夜烟,CASTER,corecaster,3,1420,683.0,135.0,19.7,1.6,0.0,19.0,1.0,女巫的帽子
伊桑,SPECIAL,stalker,3,2280,802.0,337.0,30.0,3.5,0.0,19.0,0.0,超级喷漆套装
远山,CASTER,splashcaster,3,2237,993.6,118.0,20.0,2.9,18.0,32.0,1.0,占卜师旅行套装
预备干员-辅助,SUPPORT,slower,3,1165,526.0,98.0,20.0,1.9,9.0,14.0,1.0,
预备干员-近卫,WARRIOR,fearless,3,3885,939.6,148.0,0.0,1.5,0.0,16.0,1.0,
预备干员-狙击,SNIPER,fastshot,3,1550,557.3,100.0,0.0,1.0,0.0,11.0,1.0,
预备干员-术师,CASTER,corecaster,3,1399,623.0,110.0,20.0,1.6,9.0,18.0,1.0,
预备干员-特种,SPECIAL,executor,3,1520,464.4,295.0,0.0,0.93,0.0,7.0,1.0,
预备干员-先锋,PIONEER,pioneer,3,1750,486.0,330.0,0.0,1.05,0.0,11.0,2.0,
预备干员-医疗,MEDIC,physician,3,1400,518.4,130.0,0.0,2.85,0.0,17.0,1.0,
预备干员-重装,TANK,protector,3,3040,325.0,697.4,0.0,1.2,0.0,20.0,3.0,
跃跃,SNIPER,loopshooter,3,2380,695.0,160.0,0.0,1.0,0.0,14.0,1.0,暖意的归宿
云迹,SPECIAL,skywalker,3,2255,727.0,470.8,0.0,1.5,0.0,16.0,2.0,
